"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P2";"FPC10";1;"LCD";;Molex 503480-1000;
2;"R2";"SM0402_r";1;"0";;;
3;"R1";"SM0402_r";1;"12k";;;
4;"C8,C10,C2,C4,C6";"SM0402_c";5;"100nF";;;
5;"C7,C3,C5";"SM0402_c";3;"1µF";;;
6;"C17";"SM0402_c";1;"0.8pF";;;
7;"C14";"SM0402_c";1;"2.2pF";;;
8;"C21";"SM0402_c";1;"1pF";;;
9;"C18";"SM0402_c";1;"1.5pF";;;
10;"C13";"SM0402_c";1;"2.2nF";;;
11;"C12";"SM0402_c";1;"47nF";;;
12;"C11";"SM0402_c";1;"1nF";;;
13;"C9";"SM0402_c";1;"4.7µF";;;
14;"C20,C19,C16,C15";"SM0402_c";4;"12pF";;;
15;"U2";"QFN48";1;"NRF51822";;Nordic Semiconductor nRF51822-QFAA;
16;"X1";"crystal_FA238-TSX3225";1;"32.768kHz";;;
17;"X2";"crystal_FA238-TSX3225";1;"16Mhz";;;
18;"U1";"LGA16";1;"ADXL362";;;
19;"B+1,B-1";"SIL-1";2;"CONN_1";;;
20;"B1";"1pin";1;"CONN_1";;;
21;"FB1";"SM0402";1;"FILTER";;;
22;"L2";"SM0402";1;"10nH";;;
23;"L1";"SM0402";1;"4.7nH";;;
24;"L3";"SM0402";1;"3.3nH";;;
25;"L4";"SM0402";1;"1.8nH";;;
26;"FB2";"SM0402";1;"15nH";;;
27;"FB3";"SM0805";1;"10µH";;;
28;"P1";"4-PIN-1.27mm";1;"DEBUG";;;
